ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200
GODREJPROP,0,1978.4,0,2023.4,2145.2,2243.89
ABBOTINDIA,0,32582.5,0,31919.1,30365.0,30384.3
TIINDIA,0,3133.1,0,3215.8,3329.7,3031.47
JSL,0,727.7,0,796.0,778.95,663.61
GICRE,0,351.9,0,358.2,364.05,392.52
TORNTPOWER,0,1315.6,0,1241.5,1264.5,1404.56
COLPAL,0,2284.2,0,2438.1,2337.9,2492.75
MRF,0,140534.9,0,144015.8,149705.0,130490.56
BERGEPAINT,0,560.7,0,518.6,531.6,520.52
LTF,0,233.2,0,237.9,246.7,172.0
BHARATFORG,0,1192.8,0,1219.4,1272.7,1190.61
OBEROIRLTY,0,1706.0,0,1673.5,1670.2,1772.59
COFORGE,0,1693.3,0,1733.9,1795.3,1687.62
BDL,0,1494.9,0,1538.3,1631.6,1464.97
IRCTC,0,714.4,0,721.6,736.6,752.89
GLENMARK,0,1991.0,0,2038.9,2085.2,1641.23
PHOENIXLTD,0,1525.8,0,1559.7,1629.8,1583.35
INDUSINDBK,0,772.7,0,761.0,744.4,854.71
MPHASIS,0,2793.1,0,2863.8,2993.8,2653.7
MOTILALOFS,0,948.0,0,890.6,944.7,798.42
UPL,0,743.7,0,685.8,691.1,632.69
PIIND,0,3912.8,0,3837.0,3731.2,3710.5
SAIL,0,126.3,0,129.1,136.2,118.18
SUPREMEIND,0,4668.0,0,4312.7,4411.4,4074.2
GODFRYPHLP,0,3071.4,0,3270.6,3525.0,2456.08
BANKINDIA,0,112.9,0,115.3,120.47,108.0
LINDEINDIA,0,6666.9,0,6293.2,6314.5,6448.42
MFSL,0,1641.6,0,1610.0,1561.7,1320.56
AIIL,0,3001.2,0,3090.2,3160.4,2166.3
AUBANK,0,739.3,0,724.1,718.7,656.53
NAM-INDIA,0,863.6,0,805.2,834.8,697.42
JKCEMENT,0,7112.2,0,6902.7,6862.0,5455.4
KALYANKJIL,0,533.7,0,524.1,511.4,550.35
IDFCFIRSTB,0,69.2,0,70.6,71.75,65.8
SUNDARMFIN,0,4821.4,0,4690.0,4576.9,4732.54
LAURUSLABS,0,866.5,0,887.9,932.1,672.28
COCHINSHIP,0,1710.9,0,1779.7,1900.8,1646.87
ITCHOTELS,0,232.2,0,249.9,236.74,nan
BIOCON,0,373.7,0,354.5,369.2,353.63
BALKRISIND,0,2339.5,0,2399.7,2522.7,2588.49
FEDERALBNK,0,190.6,0,193.4,197.92,196.12
PAGEIND,0,46486.0,0,45777.1,43570.0,45121.18
TATACOMM,0,1573.9,0,1617.1,1684.4,1620.27
KAYNES,0,6791.6,0,6945.2,7151.5,5781.14
HEXT,0,807.9,1,727.1,781.75,nan
ANTHEM,0,786.9,0,812.0,846.1,nan
UBL,0,1897.2,0,1861.7,1796.0,1985.75
PREMIERENE,0,991.2,0,1021.6,1051.3,1046.52
VOLTAS,0,1345.2,0,1372.4,1419.9,1394.1
APLAPOLLO,0,1610.7,0,1641.5,1691.1,1606.42
GLAXO,0,2923.1,0,2701.6,2741.1,2709.33
LTTS,0,4118.7,0,4212.7,4345.4,4558.62
HUDCO,0,211.8,0,216.3,229.04,216.19
DALBHARAT,0,2354.2,0,2392.1,2409.9,1997.77
IREDA,0,146.7,0,150.1,160.87,171.46
PGHH,0,12857.7,0,13088.0,13778.0,13815.31
MAHABANK,0,53.9,0,55.0,57.32,51.41
360ONE,0,1107.4,0,1056.0,1080.8,1059.44
CONCOR,0,532.5,0,542.8,553.75,595.03
PETRONET,0,283.9,0,272.7,278.4,301.06
FLUOROCHEM,0,3417.4,0,3540.9,3801.3,3750.99
JUBLFOOD,0,662.3,0,650.5,626.4,674.22
MCX,1,7423.8,0,7622.9,8051.5,6656.52
RADICO,0,2825.3,0,2895.2,3052.5,2504.83
ESCORTS,0,3427.5,0,3574.5,3688.1,3326.57
ENDURANCE,0,2710.8,0,2815.5,2879.5,2288.01
POONAWALLA,0,442.2,0,461.9,500.25,378.25
BLUESTARCO,0,1836.7,0,1879.5,1963.8,1867.42
M&MFIN,0,267.5,0,274.4,289.55,263.98
KEI,0,3917.4,0,4006.7,4200.0,3698.09
GODREJIND,0,1303.6,0,1253.5,1175.6,1120.85
ASTRAL,0,1375.4,0,1405.9,1452.4,1453.13
UCOBANK,0,28.5,0,29.3,31.05,34.7
NATIONALUM,0,198.6,0,204.5,211.6,187.36
KPRMILL,0,1010.1,0,1046.5,1133.45,1025.76
CHOLAHLDNG,0,1808.4,0,1871.3,2019.5,1751.42
THERMAX,0,3472.2,0,3381.1,3307.6,3567.52
TATAINVEST,0,6786.7,0,6987.4,7333.5,6449.38
SJVN,0,91.6,0,96.4,94.45,96.69
IPCALAB,1,1274.7,1,1323.3,1441.0,1438.19
CRISIL,0,5263.0,0,5176.4,4985.8,5172.09
MEDANTA,0,1313.8,0,1395.9,1354.2,1211.67
NLCINDIA,0,237.4,0,245.9,260.27,232.58
NH,0,1882.6,0,1841.8,1772.8,1656.05
DELHIVERY,0,454.7,0,464.9,478.8,354.98
METROBRAND,0,1187.1,0,1231.3,1311.1,1172.21
TATAELXSI,0,5387.0,0,5510.9,5722.5,5997.71
APARINDS,0,8271.1,0,8484.9,8847.0,7833.04
ACC,1,1798.7,0,1825.8,1879.1,1929.35
EXIDEIND,0,397.2,0,405.4,414.5,385.3
KPITTECH,0,1223.5,0,1252.7,1285.2,1301.93
COHANCE,0,886.8,0,986.9,909.4,nan
CENTRALBK,0,35.7,0,36.5,38.2,42.11
GILLETTE,0,10615.9,0,9903.3,10352.0,9305.24
3MINDIA,0,29337.6,0,31368.9,29915.0,29445.59
ASTERDM,0,591.9,0,599.6,650.55,529.15
GLAND,0,1867.9,0,1919.0,2022.8,1689.31
AWL,0,248.5,0,255.0,256.95,269.08
NIACL,0,183.0,0,189.6,201.29,179.44
CDSL,0,1498.2,0,1531.3,1582.0,1489.62
HONAUT,0,38856.4,0,37878.4,37215.0,37609.28
