ticker,st73_signal,st73_value,st72_signal,st72_value,close_price,DMA_200,DMA10,10DMA_change
COFORGE,0,1989.6,0,1939.8,1866.8,1693.59,1893.08,0
HDBFS,0,727.6,0,734.6,754.6,nan,751.24,0
GODREJPROP,0,2197.9,0,2132.5,2023.6,2142.41,2046.43,0
SCHAEFFLER,0,4074.6,0,3993.6,3839.3,3857.33,3857.75,0
OBEROIRLTY,0,1739.6,0,1702.6,1626.8,1681.7,1640.17,0
ABBOTINDIA,0,29305.6,0,28833.8,27805.0,30801.3,28337.5,0
COLPAL,0,2218.3,0,2185.1,2160.4,2329.09,2149.29,0
PATANJALI,0,572.8,0,559.7,537.85,587.53,538.88,0
FACT,1,782.3,0,817.0,896.6,873.32,834.1,0
MFSL,0,1613.9,0,1655.2,1669.6,1476.33,1691.99,0
JSWINFRA,0,280.9,0,274.9,273.15,296.87,269.02,0
GLENMARK,0,1859.7,0,1898.2,1966.5,1761.2,1960.22,0
NAM-INDIA,0,890.1,0,818.5,867.5,755.85,834.5,0
MPHASIS,0,2776.1,0,2830.8,2863.1,2644.21,2892.47,0
LAURUSLABS,0,953.5,0,977.7,1001.3,782.09,1013.78,0
IRCTC,0,694.9,0,686.8,671.05,725.89,671.03,0
SAIL,0,138.3,0,135.1,129.68,125.39,130.74,0
SUNDARMFIN,0,4518.2,0,4616.8,4765.6,4789.87,4737.78,0
TATACOMM,0,1768.6,0,1870.2,1824.8,1672.1,1815.54,1
MCX,0,9631.9,0,10593.8,10164.0,7639.81,10145.7,0
LINDEINDIA,0,5673.7,0,5746.2,6044.0,6393.38,5928.45,0
BIOCON,0,411.0,0,400.5,384.9,357.28,388.12,0
NATIONALUM,0,256.1,0,263.4,276.85,197.18,270.39,0
TIINDIA,0,2830.7,0,2759.0,2622.4,2941.09,2653.77,0
MOTILALOFS,0,924.2,0,894.7,833.65,842.87,862.51,0
BDL,0,1505.6,0,1462.4,1355.6,1561.38,1435.58,0
KALYANKJIL,0,508.2,0,494.6,479.1,515.09,479.02,1
PIIND,0,3470.8,0,3396.6,3259.3,3687.98,3339.23,0
LTTS,0,4302.4,0,4424.0,4590.2,4301.0,4596.96,0
APLAPOLLO,0,1805.1,0,1714.1,1732.9,1676.49,1744.18,0
AIIL,1,2448.5,1,2552.3,2808.3,2507.82,2623.02,0
M&MFIN,0,329.1,0,370.3,341.6,278.09,349.83,0
HEXT,0,695.1,0,723.0,761.45,749.05,759.1,0
VOLTAS,0,1409.5,0,1333.0,1394.3,1342.69,1350.54,0
BALKRISIND,0,2226.3,0,2276.2,2377.1,2462.29,2361.54,0
360ONE,0,1094.5,0,1180.6,1133.4,1053.38,1132.77,0
GODFRYPHLP,0,2924.4,0,2663.7,2865.1,2868.99,2792.04,0
GLAXO,0,2410.5,0,2469.3,2585.5,2841.33,2565.86,0
MAHABANK,0,55.5,0,59.5,56.52,53.67,56.89,0
JKCEMENT,0,5986.8,0,5817.9,5624.0,5850.37,5610.55,0
SUPREMEIND,0,3460.9,1,3175.1,3405.8,3927.28,3311.78,1
UBL,0,1713.5,0,1685.3,1624.5,1905.95,1662.33,0
RADICO,0,3078.4,0,3337.3,3169.3,2751.65,3208.37,0
HUDCO,0,230.3,0,224.3,211.02,218.95,216.24,0
PGHH,0,13104.6,1,12449.7,12940.0,13468.99,12690.8,0
COCHINSHIP,0,1673.3,0,1638.6,1560.4,1726.49,1610.36,0
PREMIERENE,0,952.1,0,847.5,911.1,1006.15,908.75,0
PAGEIND,0,38453.6,0,37818.2,36355.0,43378.78,37041.5,0
ESCORTS,0,3562.8,0,3837.5,3678.2,3432.72,3697.53,0
3MINDIA,0,33569.2,0,35692.2,35370.0,30180.28,34851.0,0
KEI,0,3931.8,0,4222.3,4156.3,3704.22,4107.49,0
PETRONET,0,261.6,0,275.8,264.7,282.1,270.77,0
ITCHOTELS,0,204.4,0,199.9,190.54,213.34,198.37,0
