rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
287,LALPATHLAB,ST73,54.45,5445.18,8,4,50.0,10000,15445.18
288,STYL,ST73,53.57,5357.06,1,1,100.0,10000,15357.06
289,WHEELS,ST73,53.3,5330.17,10,5,50.0,10000,15330.17
290,PRABHA,ST72,53.25,5325.48,5,2,40.0,10000,15325.48
291,GENUSPOWER,ST73,52.58,5257.66,9,6,66.7,10000,15257.66
292,FOSECOIND,ST73,52.45,5245.31,7,3,42.9,10000,15245.31
293,RML,ST72,52.27,5227.43,15,6,40.0,10000,15227.43
294,LUPIN,ST73,51.63,5162.76,7,4,57.1,10000,15162.76
295,COHANCE,ST73,51.31,5130.6,5,2,40.0,10000,15130.6
296,AMAGI,ST73,50.8,5080.05,1,1,100.0,10000,15080.05
297,APOLLO,ST73,50.65,5064.96,10,4,40.0,10000,15064.96
298,KRN,ST73,50.46,5045.95,5,2,40.0,10000,15045.95
299,ANUP,ST72,50.41,5041.22,15,6,40.0,10000,15041.22
300,ZYDUSLIFE,ST73,50.21,5020.78,8,4,50.0,10000,15020.78
301,THERMAX,ST73,50.18,5017.64,8,2,25.0,10000,15017.64
302,MAHSCOOTER,ST73,50.04,5003.74,7,3,42.9,10000,15003.74
303,EMUDHRA,ST73,49.79,4979.03,6,3,50.0,10000,14979.03
304,OIL,ST72,49.31,4931.28,18,7,38.9,10000,14931.28
305,AZAD,ST72,49.3,4929.9,16,6,37.5,10000,14929.9
306,SANGHVIMOV,ST73,49.1,4910.3,8,3,37.5,10000,14910.3
307,PRICOLLTD,ST73,48.87,4886.88,8,4,50.0,10000,14886.88
308,TVSHLTD,ST72,48.76,4876.04,15,6,40.0,10000,14876.04
309,HYUNDAI,ST73,48.34,4833.76,3,2,66.7,10000,14833.76
310,HEROMOTOCO,ST72,48.17,4817.39,18,8,44.4,10000,14817.39
311,JKTYRE,ST72,48.15,4815.37,17,5,29.4,10000,14815.37
312,FIEMIND,ST73,48.07,4807.1,9,5,55.6,10000,14807.1
313,TIIL,ST72,47.75,4775.07,17,8,47.1,10000,14775.07
314,ADANIPORTS,ST73,47.72,4771.99,9,4,44.4,10000,14771.99
315,SPARC,ST72,47.71,4771.31,15,6,40.0,10000,14771.31
316,BHARATFORG,ST72,47.57,4757.43,16,10,62.5,10000,14757.43
317,PURVA,ST72,47.37,4737.35,21,6,28.6,10000,14737.35
318,JUBLINGREA,ST72,47.2,4720.0,14,7,50.0,10000,14720.0
319,CUB,ST72,47.12,4711.89,17,8,47.1,10000,14711.89
320,AETHER,ST72,46.56,4656.4,12,7,58.3,10000,14656.4
321,INTELLECT,ST72,46.36,4635.61,13,7,53.8,10000,14635.61
322,SBCL,ST73,46.32,4632.12,9,2,22.2,10000,14632.12
323,SUPRIYA,ST72,46.17,4617.23,17,8,47.1,10000,14617.23
324,UFLEX,ST73,46.07,4607.38,9,4,44.4,10000,14607.38
325,VESUVIUS,ST72,45.41,4540.87,13,6,46.2,10000,14540.87
326,GUJALKALI,ST72,45.33,4533.33,14,6,42.9,10000,14533.33
327,SEAMECLTD,ST73,45.28,4527.87,6,3,50.0,10000,14527.87
328,RAIN,ST73,45.04,4503.55,9,5,55.6,10000,14503.55
329,KPIGREEN,ST72,45.02,4502.44,21,8,38.1,10000,14502.44
330,TIMETECHNO,ST73,45.01,4500.66,8,3,37.5,10000,14500.66
331,EXIDEIND,ST73,44.58,4458.16,9,3,33.3,10000,14458.16
332,BLUESTONE,ST73,43.93,4393.0,3,1,33.3,10000,14393.0
