rank,ticker,st_config,pct_return,total_pnl,total_trades,winning_trades,win_pct,capital_used,final_capital
283,STYL,ST73,55.67,5567.06,1,1,100.0,10000,15567.06
284,KWIL,ST72,55.57,5557.46,3,3,100.0,10000,15557.46
285,STYRENIX,ST73,55.08,5507.86,7,3,42.9,10000,15507.86
286,HCLTECH,ST73,55.07,5506.6,7,5,71.4,10000,15506.6
287,SOBHA,ST72,54.81,5481.01,15,7,46.7,10000,15481.01
288,APOLLO,ST72,54.65,5464.69,20,6,30.0,10000,15464.69
289,TMB,ST73,52.96,5295.95,7,4,57.1,10000,15295.95
290,KTKBANK,ST73,52.79,5279.03,8,5,62.5,10000,15279.03
291,OIL,ST72,52.51,5250.78,18,7,38.9,10000,15250.78
292,UNOMINDA,ST72,52.47,5246.9,18,7,38.9,10000,15246.9
293,AYE,ST73,52.45,5244.5,1,1,100.0,10000,15244.5
294,KRN,ST73,52.13,5213.35,5,2,40.0,10000,15213.35
295,LUPIN,ST73,51.63,5162.76,7,4,57.1,10000,15162.76
296,CHENNPETRO,ST73,51.62,5161.88,9,4,44.4,10000,15161.88
297,ZYDUSLIFE,ST73,51.17,5116.98,8,4,50.0,10000,15116.98
298,AMAGI,ST73,50.8,5080.05,1,1,100.0,10000,15080.05
299,AZAD,ST72,50.68,5068.4,16,6,37.5,10000,15068.4
300,ANUP,ST72,50.41,5041.21,15,6,40.0,10000,15041.21
301,URBANCO,ST72,50.36,5036.29,3,2,66.7,10000,15036.29
302,THERMAX,ST73,50.18,5017.64,8,2,25.0,10000,15017.64
303,BLUESTONE,ST73,49.31,4931.05,3,1,33.3,10000,14931.05
304,SANGHVIMOV,ST73,49.1,4910.3,8,3,37.5,10000,14910.3
305,CGPOWER,ST73,48.97,4896.7,9,6,66.7,10000,14896.7
306,FOSECOIND,ST73,48.79,4879.31,7,3,42.9,10000,14879.31
307,ADANIGREEN,ST72,48.66,4866.25,16,5,31.2,10000,14866.25
308,GENUSPOWER,ST73,48.62,4861.66,9,5,55.6,10000,14861.66
309,SBCL,ST73,48.32,4832.33,9,2,22.2,10000,14832.33
310,HEROMOTOCO,ST72,48.17,4817.39,18,8,44.4,10000,14817.39
311,JKTYRE,ST72,48.15,4815.36,17,5,29.4,10000,14815.36
312,FIEMIND,ST73,48.07,4807.1,9,5,55.6,10000,14807.1
313,ADANIPORTS,ST73,47.72,4771.99,10,4,40.0,10000,14771.99
314,SPARC,ST72,47.71,4771.31,15,6,40.0,10000,14771.31
315,BHARATFORG,ST72,47.57,4757.43,16,10,62.5,10000,14757.43
316,JUBLINGREA,ST72,47.2,4720.0,14,7,50.0,10000,14720.0
317,RAIN,ST72,47.08,4708.11,20,8,40.0,10000,14708.11
318,UFLEX,ST73,47.03,4702.93,9,4,44.4,10000,14702.93
319,KINGFA,ST73,46.99,4699.0,8,5,62.5,10000,14699.0
320,HYUNDAI,ST73,46.98,4698.16,3,2,66.7,10000,14698.16
321,COHANCE,ST73,46.93,4693.35,5,2,40.0,10000,14693.35
322,TIIL,ST72,46.77,4677.47,17,8,47.1,10000,14677.47
323,MAHSCOOTER,ST73,46.72,4671.74,7,3,42.9,10000,14671.74
324,INTELLECT,ST72,46.36,4635.61,13,7,53.8,10000,14635.61
325,EMUDHRA,ST73,46.07,4606.63,6,3,50.0,10000,14606.63
326,VESUVIUS,ST72,45.41,4540.87,13,6,46.2,10000,14540.87
327,NITINSPIN,ST73,45.34,4533.96,8,4,50.0,10000,14533.96
328,AETHER,ST72,45.24,4524.1,12,7,58.3,10000,14524.1
329,PRICOLLTD,ST73,45.23,4523.03,8,4,50.0,10000,14523.03
330,KPIGREEN,ST72,45.02,4502.44,21,8,38.1,10000,14502.44
331,TIMETECHNO,ST73,45.01,4500.66,8,3,37.5,10000,14500.66
332,EXIDEIND,ST73,44.58,4458.16,9,3,33.3,10000,14458.16
333,CUB,ST72,44.43,4442.81,17,8,47.1,10000,14442.81
334,UNIMECH,ST73,43.84,4383.65,5,2,40.0,10000,14383.65
335,SEAMECLTD,ST73,43.6,4359.87,6,3,50.0,10000,14359.87
336,GUJALKALI,ST72,43.52,4352.32,14,6,42.9,10000,14352.32
337,PITTIENG,ST73,43.31,4331.11,8,3,37.5,10000,14331.11
338,SARDAEN,ST72,43.28,4328.21,16,9,56.2,10000,14328.21
339,SKIPPER,ST73,42.65,4265.26,10,4,40.0,10000,14265.26
340,TVSHLTD,ST72,42.47,4247.03,16,6,37.5,10000,14247.03
341,PARAGMILK,ST73,42.07,4207.07,8,4,50.0,10000,14207.07
342,IPCALAB,ST72,41.65,4164.95,15,8,53.3,10000,14164.95
343,TIMEX,ST72,41.57,4157.35,2,2,100.0,10000,14157.35
344,TECHM,ST72,41.41,4140.78,15,6,40.0,10000,14140.78
345,SUNDRMFAST,ST73,41.25,4124.57,5,3,60.0,10000,14124.57
346,GUJTHEM,ST72,40.88,4088.23,7,4,57.1,10000,14088.23
347,LODHA,ST72,40.65,4065.18,20,8,40.0,10000,14065.18
348,DCBBANK,ST73,40.56,4055.88,10,4,40.0,10000,14055.88
349,BLUESTARCO,ST72,40.25,4024.62,19,11,57.9,10000,14024.62
350,INDHOTEL,ST73,40.01,4001.31,9,4,44.4,10000,14001.31
351,MUTHOOTFIN,ST72,39.94,3994.06,18,9,50.0,10000,13994.06
352,DHANUKA,ST72,39.91,3991.33,13,5,38.5,10000,13991.33
353,RAINBOW,ST73,39.78,3977.71,5,4,80.0,10000,13977.71
354,KSCL,ST72,39.53,3953.02,14,4,28.6,10000,13953.02
355,TATACONSUM,ST72,39.51,3951.45,10,6,60.0,10000,13951.45
356,ANANTRAJ,ST72,39.16,3916.24,20,8,40.0,10000,13916.24
357,AUROPHARMA,ST73,38.9,3890.01,9,5,55.6,10000,13890.01
358,VISHNU,ST72,38.7,3870.09,16,8,50.0,10000,13870.09
359,MANAPPURAM,ST72,38.68,3867.92,17,8,47.1,10000,13867.92
360,VBL,ST72,38.61,3861.23,14,7,50.0,10000,13861.23
361,INDIANB,ST73,38.34,3834.47,8,3,37.5,10000,13834.47
